"State","Detached","Branch","Path"
"clean","False","codex/owner-activation-hardening","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/owner-activation-hardening"
"dirty","False","codex/participant-data-import-safety","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/participant-data-import-safety"
"clean","False","codex/permissions-audit-customer-safety","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/permissions-audit-customer-safety"
"clean","False","codex/post-pr25-suite-preview-check","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/post-pr25-suite-preview-check"
"clean","False","codex/pr28-pr29-main-landing","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/pr28-pr29-main-landing"
"clean","False","codex/product-language-parity","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/product-language-parity"
"dirty","False","codex/product-pages-commercial-handoff","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/product-pages-commercial-handoff"
"clean","False","codex/products-followon-pass","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/products-followon-pass"
"dirty","True","","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/products-live-deploy"
"dirty","False","codex/products-live-hotfix","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/products-live-hotfix"
"clean","False","codex/proof-claims-pilot-alignment","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/proof-claims-pilot-alignment"
"clean","False","codex/public-commercial-main-readiness","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/public-commercial-main-readiness"
"dirty","False","codex/pulse-pdf-open","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/pulse-pdf-open"
"dirty","False","codex/pulse-shell-correction","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/pulse-shell-correction"
"clean","False","codex/pulse-to-5","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/pulse-to-5"
"dirty","False","codex/px-language-landing-temp","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/px-language-landing"
"clean","False","codex/px-preview-landing","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/px-preview-landing"
"dirty","False","codex/real-usage-proof-wave","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/real-usage-proof-wave"
"clean","False","release-dashboard-overview-framing-cleanup","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/release-dashboard-overview-framing-cleanup"
"clean","False","release-dashboard-overview-v2","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/release-dashboard-overview-v2"
"clean","False","release-dashboard-polish-main","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/release-dashboard-polish-main"
"clean","False","release-shell-navigation-buildfix","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/release-shell-navigation-buildfix"
"clean","False","codex/report-layer-strengthening","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/report-layer-strengthening"
"clean","False","codex/response-ops-dashboard-activation","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/response-ops-dashboard-activation"
"clean","False","codex/retentiescan-to-5","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/retentiescan-to-5"
"dirty","False","codex/routebeheer-hub","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/routebeheer-hub"
"clean","False","codex/ru-db-provisioning","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/ru-db-provisioning"
"clean","False","codex/saas-operations-track","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/saas-operations-track"
"clean","False","codex/saas-readiness-foundation","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/saas-readiness-foundation"
"clean","False","chore/site-analytics","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/site-analytics"
"clean","False","spec/hr-cockpit-structure","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/spec-hr-cockpit-structure"
"clean","False","spec/hr-reports-structure","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/spec-hr-reports-structure"
"clean","False","spec/hr-results-structure","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/spec-hr-results-structure"
"dirty","False","spec/hr-routebeheer-structure","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/spec-hr-routebeheer-structure"
"clean","False","codex/sqlite-demo-seed-harmonization","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/sqlite-demo-seed-harmonization"
"dirty","False","codex/strategy-pricing-alignment","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/strategy-pricing-alignment"
"clean","False","codex/suite-governance-track","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/suite-governance-track"
"dirty","False","codex/suite-preview-verification","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/suite-preview-verification"
"clean","False","codex/suite-sanity-check","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/suite-sanity-check"
"clean","False","codex/suite-to-main-promotion-decision","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/suite-to-main-promotion-decision"
"clean","False","codex/suite-to-main-promotion-slice-review","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/suite-to-main-promotion-slice-review"
"clean","False","codex/tarieven-helperline-live","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/tarieven-helperline-live"
"clean","True","","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/tarieven-label-pass"
"dirty","False","codex/teamscan-route-readiness","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/teamscan-route-readiness"
"clean","False","codex/testrevisie-copy-implementation","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/testrevisie-copy-implementation"
"clean","True","","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/testrevisie-live-release"
"clean","False","codex/tmp-doc-landings-20260426","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/tmp-doc-landings-20260426"
"clean","False","codex/ux-site-refinement-wave","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/ux-site-refinement-wave"
"clean","False","codex/ux72-landing-temp","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/ux72-landing-temp"
"dirty","False","content-machine/effectief-coaching-begint-bij-luisteren-waarom-leidinggevenden-beter-zwijgen-2026-05-08","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/verisight-blog-content-machine"
"dirty","False","wip-dashboard-category-nav","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/wip-dashboard-category-nav"
"clean","False","wip-dashboard-overview-simplify","C:/Users/larsh/Desktop/Business/Verisight/.worktrees/wip-dashboard-overview-simplify"
"clean","False","dashboard-redesign","C:/Users/larsh/Desktop/Business/Verisight/frontend/.worktrees/dashboard-redesign"
"clean","False","feat/action-center-teams-page","C:/Users/larsh/Desktop/Business/Verisight-action-center-teams"
"clean","False","codex/insights-seo-structure","C:/Users/larsh/Desktop/Business/Worktrees/Verisight_insights_seo_structure"
"clean","False","codex/motion-graphic-split","C:/Users/larsh/Desktop/Business/Worktrees/Verisight_motion_graphic_split"
"clean","False","codex/mto-track-foundation","C:/Users/larsh/Desktop/Business/Worktrees/Verisight_mto_track_foundation"
